,Substrate,ParametersType,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,ScalingFactor,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectrodeArea,I,kWh,ActualProductionRate_mass,CO2rate_fed,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,1,2.0,20,60.0,1267518.4715052205,253503694.30104408,507007.38860208815,25.0,266.41387313469426,659.1096051827145,825.8830067175522,552.0087653862133,905.8071686579605,2037.0013772864804,1131.1942086285198,5.328277462693885
1,AceticAcid,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,70.0,42506.07376811774,127518221.30435324,510072.88521741296,25.0,340.26570664075336,663.094750782637,1054.8236905863355,18.511545061974545,462.7613610314246,1736.4299864309469,1273.6686253995222,2.7221256531260267
2,Ethanol,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,1,2.5,200,50.0,174536.38423001868,349072768.46003735,872681.9211500933,25.0,382.1354084359799,1134.4864974951213,1184.6197661515378,76.01121099195717,1299.2603886823317,2395.1174746386164,1095.8570859562847,7.642708168719598
3,EthyleneGlycol,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,1,2.0,20,60.0,899623.3633234778,179924672.66469553,359849.3453293911,25.0,189.08769376816204,467.80414892820835,586.1718506813022,391.78914805955975,642.8981588117509,1445.7651476690705,802.8669888573196,3.7817538753632407
4,FormicAcid,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,70.0,14175.467696937249,42526403.09081175,170105.612363247,25.0,174.57868977554853,221.13729607222112,541.1939383042004,6.173466184572485,237.427018094746,768.5047005609939,531.0776824662479,1.3966295182043882
5,Glycolaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,1,4.0,20,5.0,8926275.491304725,1785255098.260945,7141020.393043781,25.0,2858.2319357823276,9283.326510956915,8860.519000925215,3887.424463014654,9717.988581659914,22031.269974896786,12313.281393236872,57.164638715646554
6,Methanol,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,1,2.5,200,50.0,125470.9489688127,250941897.9376254,627354.7448440635,25.0,257.5406369202517,815.5611682972827,798.3759744527803,54.64304086224563,875.6381655288558,1668.580183612308,792.9420180834522,5.150812738405034
7,CarbonMonoxide,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,70.0,22782.48280409585,68347448.41228755,273389.7936491502,25.0,280.57881988841615,355.40673174389525,869.7943416540901,9.921851624132161,381.587195048246,1235.1229250221174,853.5357299738714,2.2446305591073292
8,CarbonMonoxide_0.5,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,66.66666666666666,23921.60694430065,71764820.83290194,287059.28333160776,25.0,196.40517392189133,360.1890347189439,587.6654479543207,10.05535866353813,257.81451910254077,957.9098413368029,700.095322234262,1.5712413913751309
9,CarbonMonoxide_1,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,50.0,31895.475925734194,95686427.77720258,382745.7111088103,25.0,196.40517392189133,464.0995517030733,567.9002787240632,12.956217425117016,249.14334808539553,1044.9560478522533,795.8126997668579,1.5712413913751309
10,CarbonMonoxide_2,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,33.33333333333333,47843.2138886013,143529641.66580388,574118.5666632155,25.0,196.40517392189133,652.2730466015803,532.1071648096549,18.20943670663235,233.44056262617124,1202.589648117868,969.1490854916965,1.5712413913751309
11,FormicAcid_0.5,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,66.66666666666666,14884.241081784114,44652723.24535234,178610.89298140936,25.0,122.20508284288395,227.09892446474,370.52263759126794,6.3398963252131795,162.55186681423368,603.9614583812213,441.4095915669875,0.9776406627430717
12,FormicAcid_1,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,50.0,19845.65477571215,59536964.32713646,238147.85730854582,25.0,122.205082842884,296.29667292232335,362.56652806520214,8.271682449666505,159.0614445705403,667.134883437192,508.07343886665177,0.9776406627430719
13,FormicAcid_2,Categories-Category_1,0.0325,77.5,170,20.0,1812.1301775147926,1,4.0,300,33.33333333333333,29768.482163568227,89305446.49070469,357221.7859628187,25.0,122.20508284288395,426.1441076290066,347.63713462058263,11.896619362404172,152.51177518838463,785.6778616119933,633.1660864236087,0.9776406627430717
14,CarbonDioxide_2,Categories-Category_1,0.0325,77.5,170,,1812.1301775147926,1,3.0,300,100.0,10150.069327622004,30450207.98286601,91350.62394859803,25.000000000000004,,118.75581113317743,,4.420390995542205,,,,
15,CarbonDioxide_4,Categories-Category_1,0.0325,77.5,170,,1812.1301775147926,1,3.0,300,100.0,10150.069327622004,30450207.98286601,91350.62394859803,25.000000000000004,,118.75581113317743,,4.420390995542205,,,,
16,CarbonDioxide_x,Categories-Category_1,0.0325,77.5,170,,1812.1301775147926,1,3.0,300,100.0,10150.069327622004,30450207.98286601,91350.62394859803,25.000000000000004,,118.75581113317743,,4.420390995542205,,,,
